Exchange ID,Base,Target,Coin_Id,Target_Coin_ID
,ETH,USDT,ethereum,tether
,BTC,USDT,bitcoin,tether
,DOGE,USDT,dogecoin,tether
,USDT,USD,tether,
,XRP,USDT,ripple,tether
,USDC,USDT,usd-coin,tether
,ADA,USDT,cardano,tether
,DOT,USDT,polkadot,tether
,FIL,USDT,filecoin,tether
,EOS,USDT,eos,tether
,LTC,USDT,litecoin,tether
,BNB,USDT,binancecoin,tether
,BCH,USDT,bitcoin-cash,tether
,LUNA,USDT,terra-luna,tether
,UNI,USDT,uniswap,tether
,LINK,USDT,chainlink,tether
,ETC,USDT,ethereum-classic,tether
,FTT,USDT,ftx-token,tether
,MATIC,USDT,matic-network,tether
,ATOM,USDT,cosmos,tether
,AAVE,USDT,aave,tether
,TRX,USDT,tron,tether
,HT,USDT,huobi-token,tether
,SUSHI,USDT,sushi,tether
,1INCH,USDT,1inch,tether
,SOL,USDT,solana,tether
,ICP,USDT,internet-computer,tether
,ZEC,USDT,zcash,tether
,SHIB,USDT,shiba-inu,tether
,CRV,USDT,curve-dao-token,tether
,ONT,USDT,ontology,tether
,ACH,USDT,alchemy-pay,tether
,DASH,USDT,dash,tether
,BSV,USDT,bitcoin-cash-sv,tether
,AVAX,USDT,avalanche-2,tether
,XLM,USDT,stellar,tether
,GRT,USDT,the-graph,tether
,QTUM,USDT,qtum,tether
,ALGO,USDT,algorand,tether
,VET,USDT,vechain,tether
,AXS,USDT,axie-infinity,tether
,SNX,USDT,havven,tether
,OKB,USDT,okb,tether
,IOTX,USDT,iotex,tether
,ETH,BTC,ethereum,bitcoin
,CSPR,USDT,casper-network,tether
,PAX,USDT,paxos-standard,tether
,KSM,USDT,kusama,tether
,BUSD,USDT,binance-usd,tether
,BTT,USDT,bittorrent-2,tether
,MATIC,ETH,matic-network,ethereum
,THETA,USDT,theta-token,tether
,CHZ,USDT,chiliz,tether
,TUSD,USDT,true-usd,tether
,SRM,USDT,serum,tether
,BCH,USD,bitcoin-cash,
,XTZ,USDT,tezos,tether
,NEO,USDT,neo,tether
,XMR,USDT,monero,tether
,LRC,USDT,loopring,tether
,CLV,USDT,clover-finance,tether
,SOL,USD,solana,
,MINA,USDT,mina-protocol,tether
,GT,USDT,gatechain-token,tether
,RENBTC,BTC,renbtc,bitcoin
,SUN,USDT,sun-token,tether
,SXP,USDT,swipe,tether
,CKB,USDT,nervos-network,tether
,COMP,USDT,compound-governance-token,tether
,ETH,USD,ethereum,
,C98,USDT,coin98,tether
,SAND,USDT,the-sandbox,tether
,EOS,ETH,eos,ethereum
,YFI,USDT,yearn-finance,tether
,DOGE,BTC,dogecoin,bitcoin
,DAI,USDT,dai,tether
,HMT,USDT,human-protocol,tether
,RSR,USDT,reserve-rights-token,tether
,ALICE,USDT,my-neighbor-alice,tether
,SUSHI,USD,sushi,
,NEAR,USDT,near,tether
,QNT,USDT,quant-network,tether
,YFII,USDT,yfii-finance,tether
,SUSD,USDT,nusd,tether
,ZKS,USDT,zkswap,tether
,BAT,USDT,basic-attention-token,tether
,MASK,USDT,mask-network,tether
,ENJ,USDT,enjincoin,tether
,WOO,USDT,wootrade-network,tether
,YGG,USDT,yield-guild-games,tether
,ZRX,USDT,0x,tether
,FUN,USDT,funfair,tether
,KAVA,USDT,kava,tether
,KNC,USDT,kyber-network-crystal,tether
,TRU,USDT,truefi,tether
,ONE,USDT,harmony,tether
,OCEAN,USDT,ocean-protocol,tether
,LTC,USD,litecoin,
,TRX,USD,tron,
,MIR,USDT,mirror-protocol,tether
